school,year,field,ours_displayed,master_final,master_raw_reported,category,master_flag
Georgetown University,2018,nr,62244,31122,,semester x2 (ours annual),
Georgetown University,2019,res,64548,32274,,semester x2 (ours annual),
Georgetown University,2019,nr,64548,32274,,semester x2 (ours annual),
Georgetown University,2020,res,66872,33436,,semester x2 (ours annual),
Georgetown University,2020,nr,66872,33436,,semester x2 (ours annual),
Georgia,2018,res,19708,9854,,semester x2 (ours annual),
Georgia,2018,nr,38146,19073,,semester x2 (ours annual),
Georgia,2019,res,17604,8802,,semester x2 (ours annual),
Georgia,2019,nr,36362,18181,,semester x2 (ours annual),
Georgia,2020,res,17604,8802,,semester x2 (ours annual),
Georgia,2020,nr,36362,18181,,semester x2 (ours annual),
Georgia State University,2018,res,17050,8525,,semester x2 (ours annual),
Georgia State University,2018,nr,36658,18329,,semester x2 (ours annual),
Georgia State University,2019,res,15768,7884,,semester x2 (ours annual),
Georgia State University,2019,nr,35376,17688,,semester x2 (ours annual),
Georgia State University,2020,res,15768,7884,,semester x2 (ours annual),
Georgia State University,2020,nr,35336,17668,,semester x2 (ours annual),
Golden Gate University,2018,res,50000,25000,,semester x2 (ours annual),
Golden Gate University,2018,nr,50000,25000,,semester x2 (ours annual),
Golden Gate University,2019,res,51000,,,"per-credit (master null, ours converted)",period_zero:per-credit_only
Golden Gate University,2019,nr,51000,,,"per-credit (master null, ours converted)",period_zero:per-credit_only
Golden Gate University,2020,res,51000,,,"per-credit (master null, ours converted)",period_zero:per-credit_only
Golden Gate University,2020,nr,51000,,,"per-credit (master null, ours converted)",period_zero:per-credit_only
Golden Gate University,2021,res,52500,,,"per-credit (master null, ours converted)",period_zero:per-credit_only
Golden Gate University,2021,nr,52500,,,"per-credit (master null, ours converted)",period_zero:per-credit_only
Golden Gate University,2022,res,52500,,,"per-credit (master null, ours converted)",period_zero:per-credit_only
Golden Gate University,2022,nr,52500,,,"per-credit (master null, ours converted)",period_zero:per-credit_only
Golden Gate University,2023,res,52500,,,"per-credit (master null, ours converted)",period_zero:per-credit_only
Golden Gate University,2023,nr,52500,,,"per-credit (master null, ours converted)",period_zero:per-credit_only
Gonzaga University,2019,res,42540,,,"per-credit (master null, ours converted)",period_zero:per-credit_only
Gonzaga University,2019,nr,42540,,,"per-credit (master null, ours converted)",period_zero:per-credit_only
Gonzaga University,2020,res,44700,,,"per-credit (master null, ours converted)",period_zero:per-credit_only
Gonzaga University,2020,nr,44700,,,"per-credit (master null, ours converted)",period_zero:per-credit_only
Gonzaga University,2021,res,47670,,,"per-credit (master null, ours converted)",period_zero:per-credit_only
Gonzaga University,2021,nr,47670,,,"per-credit (master null, ours converted)",period_zero:per-credit_only
Harvard University,2018,res,64978,32489,,semester x2 (ours annual),
Harvard University,2018,nr,64978,32489,,semester x2 (ours annual),
Harvard University,2019,res,67080,33540,,semester x2 (ours annual),
Harvard University,2019,nr,67080,33540,,semester x2 (ours annual),
Harvard University,2020,res,65874,32937,,semester x2 (ours annual),
Harvard University,2020,nr,65874,32937,,semester x2 (ours annual),
Hawaii,2018,res,22392,11196,,semester x2 (ours annual),
Hawaii,2018,nr,45816,22908,,semester x2 (ours annual),
Hawaii,2019,res,22392,11196,,semester x2 (ours annual),
Hawaii,2019,nr,45816,22908,,semester x2 (ours annual),
Hawaii,2020,res,22392,11196,,semester x2 (ours annual),
Hawaii,2020,nr,45816,22908,,semester x2 (ours annual),
Hofstra University,2018,res,59214,29607,,semester x2 (ours annual),
Hofstra University,2018,nr,59214,29607,,semester x2 (ours annual),
Hofstra University,2019,res,60254,30127,,semester x2 (ours annual),
Hofstra University,2019,nr,60254,30127,,semester x2 (ours annual),
Hofstra University,2020,res,62064,31032,,semester x2 (ours annual),
Hofstra University,2020,nr,62064,31032,,semester x2 (ours annual),
Houston,2019,res,33180,16590,,semester x2 (ours annual),yoy_-48%
Houston,2019,nr,48432,24216,,semester x2 (ours annual),yoy_-48%
Houston,2020,res,28674,14337,,semester x2 (ours annual),
Houston,2020,nr,43522,21761,,semester x2 (ours annual),
Howard University,2018,res,34194,17097,,semester x2 (ours annual),
Howard University,2018,nr,35814,17907,,semester x2 (ours annual),
Howard University,2019,res,32654,16327,,semester x2 (ours annual),
Howard University,2019,nr,32654,16327,,semester x2 (ours annual),
Howard University,2020,res,33660,16830,,semester x2 (ours annual),
Howard University,2020,nr,33660,16830,,semester x2 (ours annual),
Idaho,2018,res,20986,10493,,semester x2 (ours annual),
Idaho,2018,nr,38622,19311,,semester x2 (ours annual),
Idaho,2019,res,22260,11130,,semester x2 (ours annual),
Idaho,2019,nr,41496,20748,,semester x2 (ours annual),
Idaho,2020,res,22760,11380,,semester x2 (ours annual),
Idaho,2020,nr,41996,20998,,semester x2 (ours annual),
Illinois,2018,res,38118,19059,,semester x2 (ours annual),
Illinois,2018,nr,48118,24059,,semester x2 (ours annual),
Illinois,2019,res,35000,17500,,semester x2 (ours annual),
Illinois,2019,nr,45000,22500,,semester x2 (ours annual),
Illinois,2020,res,35000,17500,,semester x2 (ours annual),
Illinois,2020,nr,45000,22500,,semester x2 (ours annual),
Illinois-Chicago,2018,res,,275,,ours-open-circle (master has value),
Illinois-Chicago,2018,nr,,275,,ours-open-circle (master has value),
Illinois-Chicago,2020,res,0,,,"per-credit (master null, ours converted)",period_zero:per-credit_only
Illinois-Chicago,2020,nr,0,,,"per-credit (master null, ours converted)",period_zero:per-credit_only
Illinois-Chicago,2021,res,36000,,,"per-credit (master null, ours converted)",period_zero:per-credit_only
Illinois-Chicago,2021,nr,45000,,,"per-credit (master null, ours converted)",period_zero:per-credit_only
Illinois-Chicago,2022,res,36000,,,"per-credit (master null, ours converted)",period_zero:per-credit_only
Illinois-Chicago,2022,nr,45000,,,"per-credit (master null, ours converted)",period_zero:per-credit_only
Illinois-Chicago,2023,res,34800,,,"per-credit (master null, ours converted)",period_zero:per-credit_only
Illinois-Chicago,2023,nr,43500,,,"per-credit (master null, ours converted)",period_zero:per-credit_only
Illinois-Chicago,2024,res,34800,,,"per-credit (master null, ours converted)",period_zero:per-credit_only
Illinois-Chicago,2024,nr,43500,,,"per-credit (master null, ours converted)",period_zero:per-credit_only
Illinois-Chicago,2025,res,36192,,0,"per-credit (master null, ours converted)",period_zero:per-credit_only
Illinois-Chicago,2025,nr,45240,,0,"per-credit (master null, ours converted)",period_zero:per-credit_only
Indiana University-Bloomington,2018,res,35588,17794,,semester x2 (ours annual),
Indiana University-Bloomington,2018,nr,55338,27669,,semester x2 (ours annual),
Indiana University-Bloomington,2019,res,35276,17638,,semester x2 (ours annual),
Indiana University-Bloomington,2019,nr,55500,27750,,semester x2 (ours annual),
Indiana University-Bloomington,2020,res,36326,18163,,semester x2 (ours annual),
Indiana University-Bloomington,2020,nr,57000,28500,,semester x2 (ours annual),
Indiana University-Indianapolis,2018,res,,547,,ours-open-circle (master has value),
Indiana University-Indianapolis,2018,nr,,547,,ours-open-circle (master has value),
Indiana University-Indianapolis,2019,res,28672,,,"per-credit (master null, ours converted)",period_zero:per-credit_only
Indiana University-Indianapolis,2019,nr,48736,,,"per-credit (master null, ours converted)",period_zero:per-credit_only
Indiana University-Indianapolis,2020,res,27420,,,"per-credit (master null, ours converted)",period_zero:per-credit_only
Indiana University-Indianapolis,2020,nr,46230,,,"per-credit (master null, ours converted)",period_zero:per-credit_only
Indiana University-Indianapolis,2023,res,0,,,"per-credit (master null, ours converted)",period_zero:per-credit_only
Indiana University-Indianapolis,2023,nr,0,,,"per-credit (master null, ours converted)",period_zero:per-credit_only
Indiana University-Indianapolis,2024,res,29232,,,"per-credit (master null, ours converted)",period_zero:per-credit_only
Indiana University-Indianapolis,2024,nr,47415,,,"per-credit (master null, ours converted)",period_zero:per-credit_only
Indiana University-Indianapolis,2025,res,29812,,0,"per-credit (master null, ours converted)",period_zero:per-credit_only
Indiana University-Indianapolis,2025,nr,47995,,0,"per-credit (master null, ours converted)",period_zero:per-credit_only
Inter American University of Puerto Rico,2012,nr,15243,0,,"master blank/0 (ours carries value, e.g. private nr=res)",missing
Inter American University of Puerto Rico,2020,res,14550,,,"per-credit (master null, ours converted)",period_zero:per-credit_only
Inter American University of Puerto Rico,2020,nr,14550,,,"per-credit (master null, ours converted)",period_zero:per-credit_only
Iowa,2018,res,27342,13671,,semester x2 (ours annual),
Iowa,2018,nr,46822,23411,,semester x2 (ours annual),
Iowa,2019,res,26180,13090,,semester x2 (ours annual),
Iowa,2019,nr,45796,22898,,semester x2 (ours annual),
Iowa,2020,res,26180,13090,,semester x2 (ours annual),
Iowa,2020,nr,45796,22898,,semester x2 (ours annual),
Jacksonville University,2024,res,34800,,,"per-credit (master null, ours converted)",period_zero:per-credit_only
Jacksonville University,2024,nr,34800,,,"per-credit (master null, ours converted)",period_zero:per-credit_only
Jacksonville University,2025,res,34800,,0,"per-credit (master null, ours converted)",period_zero:per-credit_only
Jacksonville University,2025,nr,34800,,0,"per-credit (master null, ours converted)",period_zero:per-credit_only
Kentucky,2018,res,24046,12023,,semester x2 (ours annual),
Kentucky,2018,nr,48474,24237,,semester x2 (ours annual),
Kentucky,2019,res,24722,12361,,semester x2 (ours annual),
Kentucky,2019,nr,50352,25176,,semester x2 (ours annual),
Kentucky,2020,res,23446,11723,,semester x2 (ours annual),
Kentucky,2020,nr,49836,24918,,semester x2 (ours annual),
Liberty University,2011,nr,30604,0,,"master blank/0 (ours carries value, e.g. private nr=res)",missing
Liberty University,2018,res,36862,18431,,semester x2 (ours annual),
Liberty University,2018,nr,36862,18431,,semester x2 (ours annual),
Liberty University,2019,res,35712,17856,,semester x2 (ours annual),
Liberty University,2019,nr,35712,17856,,semester x2 (ours annual),
Liberty University,2020,res,36782,18391,,semester x2 (ours annual),
Liberty University,2020,nr,36782,18391,,semester x2 (ours annual),
Liberty University,2024,nr,41800,,,"per-credit (master null, ours converted)",missing
Lincoln Memorial University,2024,res,42340,,,"per-credit (master null, ours converted)",period_zero:per-credit_only
Lincoln Memorial University,2024,nr,42340,,,"per-credit (master null, ours converted)",period_zero:per-credit_only
Lincoln Memorial University,2025,res,43210,,0,"per-credit (master null, ours converted)",period_zero:per-credit_only
Lincoln Memorial University,2025,nr,43210,,0,"per-credit (master null, ours converted)",period_zero:per-credit_only
Louisiana State University,2018,res,23660,11830,,semester x2 (ours annual),
Louisiana State University,2018,nr,39100,19550,,semester x2 (ours annual),
Louisiana State University,2019,res,19750,9875,,semester x2 (ours annual),
Louisiana State University,2019,nr,35190,17595,,semester x2 (ours annual),
Louisiana State University,2020,res,19750,9875,,semester x2 (ours annual),
Louisiana State University,2020,nr,35190,17595,,semester x2 (ours annual),
Louisiana State University,2024,nr,39500,19750,,semester x2 (ours annual),yoy_-44%
Louisiana State University,2025,nr,39500,19750,19750,semester x2 (ours annual),
Louisville,2018,res,21196,10598,,semester x2 (ours annual),
Louisville,2018,nr,39402,19701,,semester x2 (ours annual),
Louisville,2019,res,22534,11267,,semester x2 (ours annual),
Louisville,2019,nr,41944,20972,,semester x2 (ours annual),
Louisville,2020,res,23106,11553,,semester x2 (ours annual),yoy_-33%
Louisville,2020,nr,28106,14053,,semester x2 (ours annual),yoy_-33%
Loyola Marymount University-Los Angeles,2018,res,57230,28615,,semester x2 (ours annual),
Loyola Marymount University-Los Angeles,2018,nr,57230,28615,,semester x2 (ours annual),
Loyola Marymount University-Los Angeles,2019,res,58470,,,"per-credit (master null, ours converted)",missing
Loyola Marymount University-Los Angeles,2019,nr,58470,29235,,semester x2 (ours annual),missing
Loyola Marymount University-Los Angeles,2020,res,59990,,,"per-credit (master null, ours converted)",missing
Loyola Marymount University-Los Angeles,2020,nr,59990,29995,,semester x2 (ours annual),missing
Loyola Marymount University-Los Angeles,2021,res,59990,,,"per-credit (master null, ours converted)",missing
Loyola Marymount University-Los Angeles,2022,res,62390,,,"per-credit (master null, ours converted)",missing
Loyola Marymount University-Los Angeles,2023,res,64890,,,"per-credit (master null, ours converted)",missing
Loyola University-Chicago,2018,res,48962,24481,,semester x2 (ours annual),
Loyola University-Chicago,2018,nr,48962,24481,,semester x2 (ours annual),
Loyola University-Chicago,2019,res,48570,24285,,semester x2 (ours annual),
Loyola University-Chicago,2019,nr,48570,24285,,semester x2 (ours annual),
Loyola University-Chicago,2020,res,49690,24845,,semester x2 (ours annual),
Loyola University-Chicago,2020,nr,49690,24845,,semester x2 (ours annual),
Loyola University-New Orleans,2018,res,44580,22290,,semester x2 (ours annual),
Loyola University-New Orleans,2018,nr,44580,22290,,semester x2 (ours annual),
Loyola University-New Orleans,2019,res,43696,21848,,semester x2 (ours annual),
Loyola University-New Orleans,2019,nr,43696,21848,,semester x2 (ours annual),
Loyola University-New Orleans,2020,res,45226,22613,,semester x2 (ours annual),
Loyola University-New Orleans,2020,nr,45226,22613,,semester x2 (ours annual),
Maine,2018,res,23640,11820,,semester x2 (ours annual),
Maine,2018,nr,34710,17355,,semester x2 (ours annual),
Maine,2019,res,23182,11591,,semester x2 (ours annual),
Maine,2019,nr,34694,17347,,semester x2 (ours annual),
Maine,2020,res,23190,11595,,semester x2 (ours annual),
Maine,2020,nr,34680,17340,,semester x2 (ours annual),
Maine,2023,res,23084,,,"per-credit (master null, ours converted)",period_zero:per-credit_only
Maine,2023,nr,34800,,,"per-credit (master null, ours converted)",period_zero:per-credit_only
Maine,2024,res,23780,,,"per-credit (master null, ours converted)",period_zero:per-credit_only
Maine,2024,nr,34800,,,"per-credit (master null, ours converted)",period_zero:per-credit_only
Marquette University,2018,res,46170,23085,,semester x2 (ours annual),
Marquette University,2018,nr,46170,23085,,semester x2 (ours annual),
Marquette University,2019,res,47550,23775,,semester x2 (ours annual),
Marquette University,2019,nr,47550,23775,,semester x2 (ours annual),
Marquette University,2020,res,48980,24490,,semester x2 (ours annual),
Marquette University,2020,nr,48980,24490,,semester x2 (ours annual),
Maryland,2018,res,33650,16825,,semester x2 (ours annual),
Maryland,2018,nr,48742,24371,,semester x2 (ours annual),
Maryland,2019,res,32808,16404,,semester x2 (ours annual),
Maryland,2019,nr,48426,24213,,semester x2 (ours annual),
Maryland,2020,res,32808,16404,,semester x2 (ours annual),
Maryland,2020,nr,48426,24213,,semester x2 (ours annual),
Mercer University,2018,res,38716,19358,,semester x2 (ours annual),
Mercer University,2018,nr,38716,19358,,semester x2 (ours annual),
Mercer University,2019,res,39184,19592,,semester x2 (ours annual),
Mercer University,2019,nr,39184,19592,,semester x2 (ours annual),
Mercer University,2020,res,39968,19984,,semester x2 (ours annual),
Mercer University,2020,nr,39968,19984,,semester x2 (ours annual),
Miami,2018,res,52390,26195,,semester x2 (ours annual),
Miami,2018,nr,52390,26195,,semester x2 (ours annual),
Miami,2019,res,53000,26500,,semester x2 (ours annual),
Miami,2019,nr,53000,26500,,semester x2 (ours annual),
Miami,2020,res,54750,27375,,semester x2 (ours annual),
Miami,2020,nr,54750,27375,,semester x2 (ours annual),
Michigan,2018,res,59762,29881,,semester x2 (ours annual),
Michigan,2018,nr,62762,31381,,semester x2 (ours annual),
Michigan,2019,res,61526,30763,,semester x2 (ours annual),
Michigan,2019,nr,64526,32263,,semester x2 (ours annual),
Michigan,2020,res,63680,31840,,semester x2 (ours annual),
Michigan,2020,nr,66680,33340,,semester x2 (ours annual),
Michigan State University,2018,res,44200,22100,,semester x2 (ours annual),
Michigan State University,2018,nr,44200,22100,,semester x2 (ours annual),
Michigan State University,2019,res,45600,22800,,semester x2 (ours annual),
Michigan State University,2019,nr,45600,22800,,semester x2 (ours annual),
Michigan State University,2020,res,41040,20520,,semester x2 (ours annual),
Michigan State University,2020,nr,45600,22800,,semester x2 (ours annual),
Minnesota,2018,res,42840,21420,,semester x2 (ours annual),
Minnesota,2018,nr,51528,25764,,semester x2 (ours annual),
Minnesota,2019,res,43704,21852,,semester x2 (ours annual),
Minnesota,2019,nr,52560,26280,,semester x2 (ours annual),
Minnesota,2020,res,43704,21852,,semester x2 (ours annual),
Minnesota,2020,nr,52560,26280,,semester x2 (ours annual),
Mississippi College,2014,res,32680,0,,"master blank/0 (ours carries value, e.g. private nr=res)",missing
Mississippi College,2015,res,33630,0,,"master blank/0 (ours carries value, e.g. private nr=res)",missing
Mississippi College,2016,res,33630,0,,"master blank/0 (ours carries value, e.g. private nr=res)",missing
Mississippi College,2018,res,35510,17755,,semester x2 (ours annual),
Mississippi College,2018,nr,35510,17755,,semester x2 (ours annual),
Mississippi College,2019,res,33870,16935,,semester x2 (ours annual),
Mississippi College,2019,nr,33870,16935,,semester x2 (ours annual),
Mississippi College,2020,res,34800,17400,,semester x2 (ours annual),
Mississippi College,2020,nr,34800,17400,,semester x2 (ours annual),
Missouri,2018,res,21192,10596,,semester x2 (ours annual),
Missouri,2018,nr,39104,19552,,semester x2 (ours annual),
Missouri,2019,res,21590,10795,,semester x2 (ours annual),
Missouri,2019,nr,39842,19921,,semester x2 (ours annual),
Missouri,2020,res,20700,10350,,semester x2 (ours annual),
Missouri,2020,nr,39360,19680,,semester x2 (ours annual),
Missouri,2023,res,22069,,,"per-credit (master null, ours converted)",period_zero:per-credit_only
Missouri,2023,nr,27869,,,"per-credit (master null, ours converted)",period_zero:per-credit_only
Missouri,2024,res,22881,,,"per-credit (master null, ours converted)",period_zero:per-credit_only
Missouri,2024,nr,28971,,,"per-credit (master null, ours converted)",period_zero:per-credit_only
Missouri,2025,res,23548,,0,"per-credit (master null, ours converted)",period_zero:per-credit_only
Missouri,2025,nr,29812,,0,"per-credit (master null, ours converted)",period_zero:per-credit_only
Missouri-Kansas City,2018,res,19440,,,"per-credit (master null, ours converted)",period_zero:per-credit_only
Missouri-Kansas City,2018,nr,36960,,,"per-credit (master null, ours converted)",period_zero:per-credit_only
Missouri-Kansas City,2019,res,18450,,,"per-credit (master null, ours converted)",period_zero:per-credit_only
Missouri-Kansas City,2019,nr,36390,,,"per-credit (master null, ours converted)",period_zero:per-credit_only
Missouri-Kansas City,2020,res,18900,,,"per-credit (master null, ours converted)",period_zero:per-credit_only
Missouri-Kansas City,2020,nr,37290,,,"per-credit (master null, ours converted)",period_zero:per-credit_only
Missouri-Kansas City,2021,res,19500,,,"per-credit (master null, ours converted)",period_zero:per-credit_only
Missouri-Kansas City,2021,nr,38490,,,"per-credit (master null, ours converted)",period_zero:per-credit_only
Missouri-Kansas City,2022,res,21060,,,"per-credit (master null, ours converted)",period_zero:per-credit_only
Missouri-Kansas City,2022,nr,27060,,,"per-credit (master null, ours converted)",period_zero:per-credit_only
Missouri-Kansas City,2023,res,20880,,,"per-credit (master null, ours converted)",period_zero:per-credit_only
Missouri-Kansas City,2023,nr,26680,,,"per-credit (master null, ours converted)",period_zero:per-credit_only
Missouri-Kansas City,2024,res,21808,,,"per-credit (master null, ours converted)",period_zero:per-credit_only
Missouri-Kansas City,2024,nr,27869,,,"per-credit (master null, ours converted)",period_zero:per-credit_only
Missouri-Kansas City,2025,res,22794,,0,"per-credit (master null, ours converted)",period_zero:per-credit_only
Missouri-Kansas City,2025,nr,28594,,0,"per-credit (master null, ours converted)",period_zero:per-credit_only
Mitchell/Hamline,2018,res,43460,21730,,semester x2 (ours annual),
Mitchell/Hamline,2018,nr,43460,21730,,semester x2 (ours annual),
Mitchell/Hamline,2019,res,44980,22490,,semester x2 (ours annual),
Mitchell/Hamline,2019,nr,44980,22490,,semester x2 (ours annual),
Mitchell/Hamline,2020,res,46550,23275,,semester x2 (ours annual),
Mitchell/Hamline,2020,nr,46550,23275,,semester x2 (ours annual),
Montana,2018,res,13176,6588,,semester x2 (ours annual),
Montana,2018,nr,32436,16218,,semester x2 (ours annual),
Montana,2019,res,14014,7007,,semester x2 (ours annual),
Montana,2019,nr,34546,17273,,semester x2 (ours annual),
Montana,2020,res,12738,6369,,semester x2 (ours annual),
Montana,2020,nr,34268,17134,,semester x2 (ours annual),
Nebraska,2018,res,16084,8042,,semester x2 (ours annual),
Nebraska,2018,nr,36940,18470,,semester x2 (ours annual),
Nebraska,2019,res,11850,,,"per-credit (master null, ours converted)",period_zero:per-credit_only
Nebraska,2019,nr,31620,,,"per-credit (master null, ours converted)",period_zero:per-credit_only
Nebraska,2020,res,12180,,,"per-credit (master null, ours converted)",period_zero:per-credit_only
Nebraska,2020,nr,32820,,,"per-credit (master null, ours converted)",period_zero:per-credit_only
Nebraska,2021,res,12180,,,"per-credit (master null, ours converted)",period_zero:per-credit_only
Nebraska,2021,nr,32820,,,"per-credit (master null, ours converted)",period_zero:per-credit_only
Nebraska,2022,res,12180,,,"per-credit (master null, ours converted)",period_zero:per-credit_only
Nebraska,2022,nr,32820,,,"per-credit (master null, ours converted)",period_zero:per-credit_only
Nebraska,2023,res,12180,,,"per-credit (master null, ours converted)",period_zero:per-credit_only
Nebraska,2023,nr,32828,,,"per-credit (master null, ours converted)",period_zero:per-credit_only
Nebraska,2024,res,12586,,,"per-credit (master null, ours converted)",period_zero:per-credit_only
Nebraska,2024,nr,33930,,,"per-credit (master null, ours converted)",period_zero:per-credit_only
Nebraska,2025,res,13224,,0,"per-credit (master null, ours converted)",period_zero:per-credit_only
Nebraska,2025,nr,35641,,0,"per-credit (master null, ours converted)",period_zero:per-credit_only
New England Law/Boston,2012,res,42570,0,,"master blank/0 (ours carries value, e.g. private nr=res)",missing
New England Law/Boston,2015,res,,0,,ours-open-circle (master has value),missing
New England Law/Boston,2017,nr,,47992,,ours-open-circle (master has value),missing
New England Law/Boston,2018,res,49488,24744,,semester x2 (ours annual),
New England Law/Boston,2018,nr,49488,24744,,semester x2 (ours annual),
New England Law/Boston,2019,res,50888,25444,,semester x2 (ours annual),
New England Law/Boston,2019,nr,50888,25444,,semester x2 (ours annual),
New England Law/Boston,2020,res,50888,25444,,semester x2 (ours annual),
New England Law/Boston,2020,nr,50888,25444,,semester x2 (ours annual),
New Hampshire,2018,res,37406,18703,,semester x2 (ours annual),
New Hampshire,2018,nr,43306,21653,,semester x2 (ours annual),
New Hampshire,2019,res,38000,19000,,semester x2 (ours annual),
New Hampshire,2019,nr,44000,22000,,semester x2 (ours annual),
New Hampshire,2020,res,39000,19500,,semester x2 (ours annual),
New Hampshire,2020,nr,45000,22500,,semester x2 (ours annual),
New York Law School,2018,res,51732,25866,,semester x2 (ours annual),
New York Law School,2018,nr,51732,25866,,semester x2 (ours annual),
New York Law School,2019,res,52552,26276,,semester x2 (ours annual),
New York Law School,2019,nr,52552,26276,,semester x2 (ours annual),
New York Law School,2020,res,52552,26276,,semester x2 (ours annual),
New York Law School,2020,nr,52552,26276,,semester x2 (ours annual),
New York University,2018,res,66422,33211,,semester x2 (ours annual),
New York University,2018,nr,66422,33211,,semester x2 (ours annual),
New York University,2019,res,68934,34467,,semester x2 (ours annual),
New York University,2019,nr,68934,34467,,semester x2 (ours annual),
New York University,2020,res,68348,34174,,semester x2 (ours annual),
New York University,2020,nr,68348,34174,,semester x2 (ours annual),
North Carolina,2018,res,24172,12086,,semester x2 (ours annual),
North Carolina,2018,nr,40802,20401,,semester x2 (ours annual),
North Carolina,2019,res,21142,10571,,semester x2 (ours annual),
North Carolina,2019,nr,38288,19144,,semester x2 (ours annual),
North Carolina,2020,res,21140,10570,,semester x2 (ours annual),
North Carolina,2020,nr,38286,19143,,semester x2 (ours annual),
North Carolina Central University,2018,res,18738,9369,,semester x2 (ours annual),
North Carolina Central University,2018,nr,41410,20705,,semester x2 (ours annual),
North Carolina Central University,2019,res,13444,6722,,semester x2 (ours annual),yoy_-28%
North Carolina Central University,2019,nr,36116,18058,,semester x2 (ours annual),yoy_-28%
North Carolina Central University,2020,res,13444,6722,,semester x2 (ours annual),
North Carolina Central University,2020,nr,36116,18058,,semester x2 (ours annual),
North Dakota,2018,res,13024,6512,,semester x2 (ours annual),
North Dakota,2018,nr,29644,14822,,semester x2 (ours annual),
North Dakota,2019,res,15618,7809,,semester x2 (ours annual),yoy_45%
North Dakota,2019,nr,42836,21418,,semester x2 (ours annual),yoy_45%
North Dakota,2020,res,14296,7148,,semester x2 (ours annual),
North Dakota,2020,nr,42888,21444,,semester x2 (ours annual),
North Dakota,2022,res,15240,,,"per-credit (master null, ours converted)",period_zero:per-credit_only
North Dakota,2022,nr,30480,,,"per-credit (master null, ours converted)",period_zero:per-credit_only
North Dakota,2025,res,17139,,0,"per-credit (master null, ours converted)",period_zero:per-credit_only
North Dakota,2025,nr,34249,,0,"per-credit (master null, ours converted)",period_zero:per-credit_only
North Texas at Dallas,2023,res,16298,,,"per-credit (master null, ours converted)",period_zero:per-credit_only
North Texas at Dallas,2023,nr,28768,,,"per-credit (master null, ours converted)",period_zero:per-credit_only
North Texas at Dallas,2025,res,16298,,0,"per-credit (master null, ours converted)",period_zero:per-credit_only
North Texas at Dallas,2025,nr,28333,,0,"per-credit (master null, ours converted)",period_zero:per-credit_only
Northeastern University,2011,nr,42296,0,,"master blank/0 (ours carries value, e.g. private nr=res)",missing
Northeastern University,2018,res,50700,25350,,semester x2 (ours annual),
Northeastern University,2018,nr,50700,25350,,semester x2 (ours annual),
Northeastern University,2019,res,52800,26400,,semester x2 (ours annual),
Northeastern University,2019,nr,52800,26400,,semester x2 (ours annual),
Northeastern University,2020,res,54750,27375,,semester x2 (ours annual),
Northeastern University,2020,nr,54750,27375,,semester x2 (ours annual),
Northern Illinois University,2018,res,22180,11090,,semester x2 (ours annual),
Northern Illinois University,2018,nr,22180,11090,,semester x2 (ours annual),
Northern Illinois University,2019,res,21970,10985,,semester x2 (ours annual),
Northern Illinois University,2019,nr,21970,10985,,semester x2 (ours annual),
Northern Illinois University,2020,res,21970,10985,,semester x2 (ours annual),
Northern Illinois University,2020,nr,21970,10985,,semester x2 (ours annual),
Northern Kentucky University,2018,res,20332,10166,,semester x2 (ours annual),
Northern Kentucky University,2018,nr,32890,16445,,semester x2 (ours annual),
Northern Kentucky University,2019,res,21346,10673,,semester x2 (ours annual),
Northern Kentucky University,2019,nr,34528,17264,,semester x2 (ours annual),
Northern Kentucky University,2020,res,22204,11102,,semester x2 (ours annual),
Northern Kentucky University,2020,nr,35906,17953,,semester x2 (ours annual),
Northwestern University,2016,nr,,0,,ours-open-circle (master has value),missing
Northwestern University,2018,res,64402,32201,,semester x2 (ours annual),
Northwestern University,2018,nr,64402,32201,,semester x2 (ours annual),
Northwestern University,2019,res,66506,33253,,semester x2 (ours annual),
Northwestern University,2019,nr,66506,33253,,semester x2 (ours annual),
Northwestern University,2020,res,68500,34250,,semester x2 (ours annual),
Northwestern University,2020,nr,68500,34250,,semester x2 (ours annual),
Notre Dame,2018,res,58358,29179,,semester x2 (ours annual),
Notre Dame,2018,nr,58358,29179,,semester x2 (ours annual),
Notre Dame,2019,res,60240,30120,,semester x2 (ours annual),
Notre Dame,2019,nr,60240,30120,,semester x2 (ours annual),
Notre Dame,2020,res,62590,31295,,semester x2 (ours annual),
Notre Dame,2020,nr,62590,31295,,semester x2 (ours annual),
Nova Southeastern University,2018,res,40950,20475,,semester x2 (ours annual),
Nova Southeastern University,2018,nr,40950,20475,,semester x2 (ours annual),
Nova Southeastern University,2019,res,41790,20895,,semester x2 (ours annual),
Nova Southeastern University,2019,nr,41790,20895,,semester x2 (ours annual),
Nova Southeastern University,2020,res,43044,21522,,semester x2 (ours annual),
Nova Southeastern University,2020,nr,43044,21522,,semester x2 (ours annual),
Ohio Northern University,2015,nr,,0,,ours-open-circle (master has value),missing
Ohio Northern University,2016,nr,,0,,ours-open-circle (master has value),missing
Ohio Northern University,2018,res,29160,14580,,semester x2 (ours annual),
Ohio Northern University,2018,nr,29160,14580,,semester x2 (ours annual),
Ohio Northern University,2019,res,30200,15100,,semester x2 (ours annual),
Ohio Northern University,2019,nr,30200,15100,,semester x2 (ours annual),
Ohio Northern University,2020,res,30130,15065,,semester x2 (ours annual),
Ohio Northern University,2020,nr,30130,15065,,semester x2 (ours annual),
